PATH,GENRE AS SHOWN ON THE STORE,GENRE CODE FOR METADATA,GENRE ID
Music | Holiday | Christmas: Jazz,Christmas: Jazz,CHRISTMAS-JAZZ-00,1084
Music | Holiday | Christmas: Modern,Christmas: Modern,CHRISTMAS-MODERN-00,1085
Music | Holiday | Christmas: Pop,Christmas: Pop,CHRISTMAS-POP-00,1086
Music | Holiday | Christmas: R&B,Christmas: R&B,CHRISTMAS-R-B-00,1087
Music | Holiday | Christmas: Religious,Christmas: Religious,CHRISTMAS-RELIGIOUS-00,1088
Music | Holiday | Christmas: Rock,Christmas: Rock,CHRISTMAS-ROCK-00,1089
Music | Holiday | Easter,Easter,EASTER-00,1090
Music | Holiday | Halloween,Halloween,HALLOWEEN-00,1091
Music | Holiday | Thanksgiving,Thanksgiving,THANKSGIVING-00,1093
Music | Hörspiele,Hörspiele,HORSPIELE-00,100107
Music | Indian,Indian,INDIAN-00,1262
Music | Indian | Bollywood,Bollywood,BOLLYWOOD-00,1263
Music | Indian | Devotional & Spiritual,Devotional & Spiritual,DEVOTIONAL-SPIRITUAL-00,1267
Music | Indian | Ghazals,Ghazals,GHAZALS-00,1278
Music | Indian | Indian Classical,Indian Classical,INDIAN-CLASSICAL-00,1269
Music | Indian | Indian Folk,Indian Folk,INDIAN-FOLK-00,1279
Music | Indian | Indian Pop,Indian Pop,INDIAN-POP-00,1185
Music | Indian | Regional Indian,Regional Indian,REGIONAL-INDIAN-00,1266
Music | Indian | Sufi,Sufi,SUFI-AND-GHAZALS-00,1268
Music | Inspirational,Inspirational,INSPIRATIONAL-00,100000
Music | Instrumental,Instrumental,INSTRUMENTAL-00,53
Music | J-Pop,J-Pop,J-POP-00,27
Music | Jazz,Jazz,JAZZ-00,11
Music | Jazz | Avant-Garde Jazz,Avant-Garde Jazz,AVANT-GARDE-JAZZ-00,1106
Music | Jazz | Bebop,Bebop,BOP-00,1053
Music | Jazz | Big Band,Big Band,BIG-BAND-00,1052
Music | Jazz | Contemporary Jazz,Contemporary Jazz,CONTEMPORARY-JAZZ-00,1107
Music | Jazz | Cool Jazz,Cool Jazz,COOL-00,1209
Music | Jazz | Crossover Jazz,Crossover Jazz,CROSSOVER-JAZZ-00,1108
Music | Jazz | Dixieland,Dixieland,DIXIELAND-00,1109
Music | Jazz | Ethio Jazz,Ethio Jazz,ETHIO-JAZZ-00,50000160
Music | Jazz | Fusion,Fusion,FUSION-00,1110
Music | Jazz | Hard Bop,Hard Bop,HARD-BOP-00,1207
Music | Jazz | Latin Jazz,Latin Jazz,LATIN-JAZZ-01,1111
Music | Jazz | Mainstream Jazz,Mainstream Jazz,MAINSTREAM-JAZZ-00,1112
Music | Jazz | Ragtime,Ragtime,RAGTIME-00,1113
